Number of components,Type of covariance,BIC score
1,spherical,120.41490516303324
2,spherical,613.8747195476203
3,spherical,1240.4216157422918
4,spherical,1894.4334836336916
5,spherical,2480.0092939004453
6,spherical,3246.7683962499877
1,tied,120.41490516303516
2,tied,436.5313336195688
3,tied,754.7222767671274
4,tied,1087.8676642735084
5,tied,1543.335986466665
6,tied,1755.2870901958158
1,diag,120.41490516303324
2,diag,611.7721653207693
3,diag,1246.9002070196127
4,diag,1824.9263647329492
5,diag,2575.6807517665034
6,diag,3182.553755129758
1,full,120.4149051630283
2,full,613.8429201606181
3,full,1252.925149744996
4,full,1895.1676250232456
5,full,2504.3062376695816
6,full,3097.119701181826
