Number of components,Type of covariance,BIC score
1,spherical,-3.0355358727861357
2,spherical,531.7074718394272
3,spherical,1025.3564377890173
4,spherical,1634.9703948312806
5,spherical,2166.018679492728
6,spherical,2491.2450820056274
1,tied,-3.035535872784726
2,tied,327.0278270974603
3,tied,576.5517532505294
4,tied,773.893405566286
5,tied,1098.383181654431
6,tied,1236.9206085012543
1,diag,-3.0355358727861357
2,diag,531.8424223307322
3,diag,1023.5581623924785
4,diag,1584.0815788796142
5,diag,2099.676909274343
6,diag,2486.262180530642
1,full,-3.0355358727714474
2,full,531.9685583758634
3,full,1006.4732625090686
4,full,1680.5752345985907
5,full,2226.1100613411595
6,full,2710.59410087133
