Number of components,Type of covariance,BIC score
1,spherical,27.75342517243571
2,spherical,586.930132276747
3,spherical,1113.8129569498171
4,spherical,1827.8604015349658
5,spherical,2637.6733162297473
6,spherical,3413.7520581390663
1,tied,27.75342517243748
2,tied,377.1211165571721
3,tied,646.7002972587288
4,tied,895.5861363922846
5,tied,1501.2239691984364
6,tied,1633.8347999170385
1,diag,27.75342517243571
2,diag,586.9223798262285
3,diag,1114.6991576044516
4,diag,1791.1515151241097
5,diag,2570.2060911452363
6,diag,3435.4193679536766
1,full,27.753425172441574
2,full,587.3304336405483
3,full,1121.5614633614373
4,full,1789.7255088494699
5,full,2602.5353834454777
6,full,3040.2978956311927
