Number of components,Type of covariance,BIC score
1,spherical,490.0670142629083
2,spherical,73.54343791982288
3,spherical,45.34234934571049
4,spherical,8.211152337038424
5,spherical,-38.98864956353786
6,spherical,189.12822978864887
1,tied,490.0670142629082
2,tied,635.0214105944511
3,tied,194.9659880231174
4,tied,272.3059030282215
5,tied,255.53634721908892
6,tied,232.76141836159164
1,diag,490.0670142629083
2,diag,565.9691259788021
3,diag,45.34234934571049
4,diag,43.78046109642155
5,diag,-126.68977242044346
6,diag,136.2289188865215
1,full,490.0670142629084
2,full,565.9813580021653
3,full,45.34234934570166
4,full,38.191170268534776
5,full,-108.98555724479073
6,full,139.82212787041374
