Number of components,Type of covariance,BIC score
1,spherical,715.5613559976749
2,spherical,3003.566432018705
3,spherical,7200.4303407623565
4,spherical,13423.31778049144
5,spherical,16598.374108929234
6,spherical,22014.29526591388
1,tied,715.5613559976749
2,tied,10522.653923567384
3,tied,23811.602803160906
4,tied,46757.594260180435
5,tied,69323.62787180563
6,tied,104498.04994802325
1,diag,715.5613559976749
2,diag,3003.566432018705
3,diag,7723.875452099945
4,diag,13859.218669588654
5,diag,16598.759933069392
6,diag,24142.188159724854
1,full,715.5613559976748
2,full,3431.3581405982777
3,full,7296.435794176732
4,full,13716.882238292357
5,full,15377.677835617904
6,full,19468.92824808863
