Number of components,Type of covariance,BIC score
1,spherical,754.4626948105788
2,spherical,713.8130545422409
3,spherical,821.9590850594057
4,spherical,861.571397300647
5,spherical,945.735655087853
6,spherical,989.359899278975
1,tied,754.462694810581
2,tied,853.536313399852
3,tied,898.3687453095623
4,tied,983.8828067790549
5,tied,1096.996095838529
6,tied,1075.2902827235123
1,diag,754.4626948105788
2,diag,713.7425621432932
3,diag,802.5252566519034
4,diag,878.5466809875843
5,diag,957.8218320788694
6,diag,1005.6515430246327
1,full,754.4626948105813
2,full,713.6029933589548
3,full,772.550714043862
4,full,877.4910154582212
5,full,957.6930880076765
6,full,991.1067071791782
