Number of components,Type of covariance,BIC score
1,spherical,526.5249896978632
2,spherical,-537.1606595866589
3,spherical,-513.9139902653241
4,spherical,-574.7909130238272
5,spherical,-514.9317323235211
6,spherical,-489.26874703205067
1,tied,526.5249896978632
2,tied,793.419994098392
3,tied,361.4169937055129
4,tied,533.2788381322786
5,tied,474.21941474013204
6,tied,483.314908192547
1,diag,526.5249896978632
2,diag,-537.1606596444464
3,diag,-513.916828728288
4,diag,-589.1243258204644
5,diag,-574.4803400217734
6,diag,-508.8631473014305
1,full,526.5249896978634
2,full,222.30117363750924
3,full,-513.9139902653558
4,full,-540.302473000401
5,full,-587.268801709889
6,full,-488.8238621234229
