Number of components,Type of covariance,BIC score
1,spherical,-162.20193246708544
2,spherical,-3059.2004238081972
3,spherical,-3140.8750302603903
4,spherical,-3053.6111270814154
5,spherical,-2986.9048640276096
6,spherical,-2965.57594067174
1,tied,-162.20193246708544
2,tied,-143.94370927188734
3,tied,-471.66859136150276
4,tied,-404.9468943950141
5,tied,-643.7988752238911
6,tied,-694.5939180535114
1,diag,-162.20193246708544
2,diag,-3059.2004238081972
3,diag,-3140.8548910466325
4,diag,-3066.3643429555536
5,diag,-2986.4843522303736
6,diag,-2956.0935992688546
1,full,-162.20193246708538
2,full,-3059.200423808198
3,full,-3140.902769262844
4,full,-3109.919713000892
5,full,-2992.438340949404
6,full,-2931.2635219775225
