Number of components,Type of covariance,BIC score
1,spherical,228.2578924309912
2,spherical,600.7634817690698
3,spherical,1070.900865110023
4,spherical,1563.5911020162766
5,spherical,1391.4582332611892
6,spherical,3666.474036810438
1,tied,228.25789243099138
2,tied,712.7839650020247
3,tied,1021.0462276414812
4,tied,1216.8496700180033
5,tied,1391.1368795269923
6,tied,2613.5678528254434
1,diag,228.2578924309912
2,diag,699.869177082436
3,diag,1161.1291347137858
4,diag,1606.047386146623
5,diag,2110.8851145475746
6,diag,3933.4986760496176
1,full,228.2578924309965
2,full,608.6114775860178
3,full,1118.5084396044542
4,full,1605.823187866265
5,full,2083.214137744032
6,full,3523.827474990655
