Number of components,Type of covariance,BIC score
1,spherical,20.61173293394529
2,spherical,561.1378527269599
3,spherical,1225.7261811065225
4,spherical,2011.1022236030653
5,spherical,2507.1965889300545
6,spherical,3419.7462465214167
1,tied,20.61173293394493
2,tied,522.5942691723087
3,tied,1083.7232534104467
4,tied,1665.7724751912926
5,tied,2196.9352135328995
6,tied,2905.132430739296
1,diag,20.61173293394529
2,diag,560.7864903195854
3,diag,1238.4545262081742
4,diag,2012.3609118131612
5,diag,2619.3857375938214
6,diag,3282.772939805514
1,full,20.61173293394429
2,full,560.786490319605
3,full,1256.5609753946355
4,full,2093.314953089049
5,full,2540.7104844495834
6,full,3390.29800374271
