SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
1000206901	36	31	22	37	11	16	33	28	36	30	15	34	16	0	24	33	29	32	12	0	0	0	0	0
100102082	25	22	30	24	0	28	28	0	26	0	0	0	25	0	20	35	27	27	0	0	0	0	0	0
1001207701	30	27	25	33	0	27	25	0	23	0	0	0	28	0	28	27	25	30	0	0	0	0	0	0
1002209901	38	34	34	26	18	24	35	0	13	0	11	0	32	0	30	36	41	22	0	0	0	0	0	0
1003210301	39	29	28	48	17	16	54	37	37	16	21	18	21	0	43	31	44	47	38	0	0	0	0	0
1004211301	35	31	33	20	17	15	35	0	19	0	15	0	39	0	35	33	34	33	0	0	0	0	0	0
1005214101	39	23	28	34	0	24	30	0	34	0	0	0	39	0	32	27	33	42	0	0	0	0	0	0
1007215301	38	25	26	32	31	0	36	39	23	9	10	41	11	0	20	26	29	25	14	0	0	0	0	0
1008216701	32	29	22	26	18	14	24	16	42	0	17	12	33	0	30	32	26	31	0	0	0	0	0	0
1009228901	34	36	33	37	0	34	40	0	39	0	0	0	34	0	28	45	32	41	0	0	0	0	0	0
1010616901	49	36	39	37	13	19	37	16	25	12	14	0	25	0	29	39	34	36	24	0	0	0	0	0
101106071	31	24	32	28	31	0	14	29	17	20	36	10	16	0	15	29	34	16	0	0	0	0	0	0
1011616902	32	34	36	41	18	16	31	19	48	0	0	0	44	0	29	33	38	28	0	0	0	0	0	0
1012617701	35	47	40	41	0	41	46	21	37	18	0	0	16	0	21	35	44	39	31	0	0	0	0	0
1013617501	40	28	32	17	0	47	17	0	50	19	0	0	15	0	19	28	38	15	0	0	0	0	0	0
1014604901	36	40	41	57	0	47	40	21	34	27	0	0	19	0	36	37	44	46	25	0	0	0	0	0
1015611101	44	39	35	52	20	20	42	35	62	17	16	22	19	0	23	47	42	33	17	0	0	0	0	0
1016611301	28	47	60	60	24	25	46	22	49	0	33	25	42	0	48	52	43	42	0	0	0	0	0	0
1017620101	24	24	29	34	0	24	31	15	28	15	0	0	21	0	17	28	40	37	20	0	0	0	0	0
1018621701	29	30	24	21	9	18	32	15	9	21	17	0	18	0	33	25	35	38	21	0	0	0	0	0
1019621702	46	29	38	36	0	43	39	0	50	0	0	0	43	0	33	37	37	43	0	0	0	0	0	0
1020330101	33	39	39	32	0	50	33	0	41	0	0	0	39	0	41	26	37	35	0	0	0	0	0	0
102116021	49	28	29	31	0	37	29	0	32	0	0	0	31	0	37	29	33	28	0	0	0	0	0	0
1022306301	42	24	24	32	41	0	40	15	16	0	29	0	37	0	22	29	37	31	0	0	0	0	0	0
10227052	44	30	25	34	18	19	39	37	32	19	12	16	17	0	22	35	35	27	14	0	0	0	0	0
1023311101	53	38	35	46	24	17	47	59	46	37	21	21	0	0	1	44	43	47	41	0	0	0	0	0
1024311301	38	28	28	26	17	15	32	27	37	14	17	13	12	0	15	27	30	25	15	0	0	0	0	0
1025318501	39	24	27	36	0	31	27	13	30	17	0	0	16	0	25	30	32	31	10	0	0	0	0	0
1026319101	28	27	29	0	26	0	29	0	0	0	35	0	37	0	23	30	33	28	0	0	0	0	0	0
1027328701	42	28	32	26	0	33	32	32	19	44	0	0	0	0	0	27	31	14	32	0	0	0	0	0
1028328901	46	39	43	51	0	39	48	18	44	33	0	0	23	0	27	49	43	44	23	0	0	0	0	0
1029307901	32	27	26	10	12	15	31	0	22	0	17	0	29	0	28	27	31	23	0	0	0	0	0	0
1030315301	39	29	28	26	15	12	28	13	12	16	12	0	14	0	17	24	32	39	15	0	0	0	0	0
103116022	29	25	39	19	15	12	15	13	7	14	11	0	16	0	13	37	25	12	0	0	0	0	0	0
1031824301	33	32	25	37	17	15	30	46	38	27	17	15	0	0	0	35	31	37	34	0	0	0	0	0
1032827101	29	26	23	40	15	17	36	32	27	15	18	21	17	0	21	29	31	32	19	0	0	0	0	0
1034803101	58	40	40	52	23	18	43	44	53	23	17	20	24	0	42	37	45	47	20	0	0	0	0	0
1035816701	31	23	20	21	13	14	31	11	9	5	17	0	8	0	21	18	28	28	15	0	0	0	0	0
1036806701	37	35	28	48	15	16	26	18	30	0	0	0	24	0	38	27	41	30	0	0	0	0	0	0
1037800501	30	26	29	23	0	34	29	16	38	17	0	0	17	0	23	29	34	28	14	0	0	0	0	0
1038800301	32	38	37	39	14	21	31	16	25	0	12	15	36	0	40	22	27	35	0	0	0	0	0	0
1039801301	51	45	43	57	1	34	58	0	43	0	0	0	48	0	53	36	40	47	0	0	0	0	0	0
1040822501	54	37	40	60	22	27	45	48	47	28	25	19	20	0	33	45	49	37	19	0	0	0	0	0
104116082	37	36	31	26	19	19	41	0	18	0	22	0	34	0	39	51	39	40	0	0	0	0	0	0
1041302101	28	22	32	16	15	18	33	0	12	0	9	0	33	0	35	21	28	34	0	0	0	0	0	0
1042404301	29	32	30	41	19	18	33	17	25	0	21	16	31	0	37	35	38	30	0	0	0	0	0	0
1043306901	34	32	26	36	22	17	34	30	30	20	13	11	16	0	29	36	32	37	23	0	0	0	0	0
1044307701	27	23	21	24	0	26	22	0	26	0	0	0	28	0	24	20	24	29	0	0	0	0	0	0
1045318901	27	22	26	36	10	16	29	14	31	0	0	0	28	0	40	22	24	28	0	0	0	0	0	0
1046324501	36	27	32	46	0	20	38	55	34	41	13	20	0	0	0	34	30	21	34	0	0	0	0	0
1047326101	25	33	28	32	0	35	32	0	30	0	0	0	30	0	37	37	34	31	0	0	0	0	0	0
1048328901	31	31	32	21	19	17	29	16	22	12	15	0	15	0	17	29	42	33	18	0	0	0	0	0
1050333901	40	24	33	35	0	21	28	13	24	16	0	0	14	0	26	22	30	22	13	0	0	0	0	0
1051007301	42	38	44	40	0	36	36	0	38	0	0	0	40	0	39	41	39	32	0	0	0	0	0	0
1052007701	48	51	50	30	32	0	46	25	28	20	49	0	26	0	31	54	66	48	26	0	0	0	0	0
1053009701	50	45	38	41	0	54	54	0	47	0	0	0	53	0	44	51	58	46	0	0	0	0	0	0
105301031	33	27	33	35	0	39	29	0	17	0	0	0	30	0	32	20	33	35	0	0	0	0	0	0
1054020501	48	34	37	45	24	21	48	38	42	33	18	25	22	0	26	46	46	44	15	0	0	0	0	0
1055016301	36	36	31	41	19	17	34	38	38	16	16	31	18	0	17	29	37	29	20	0	0	0	0	0
1057014701	34	27	27	23	0	33	33	0	27	0	0	0	29	0	27	20	27	23	0	0	0	0	0	0
1058009901	28	28	31	24	0	33	27	0	31	0	0	0	27	0	33	28	40	27	0	0	0	0	0	0
1059310901	23	23	27	12	0	33	14	30	17	26	0	0	0	0	0	32	32	14	19	0	0	0	0	0
1060302901	21	24	27	18	26	1	22	15	12	0	20	12	21	0	28	27	32	26	0	0	0	0	0	0
1061309301	46	34	38	20	18	22	40	0	19	0	21	0	36	0	46	29	41	40	0	0	0	0	0	0
1062301301	34	25	20	25	25	0	23	14	10	0	10	8	31	0	22	22	31	28	0	0	0	0	0	0
106301032	28	27	25	42	30	0	29	27	30	0	17	12	32	0	36	23	33	25	0	0	0	0	0	0
1063331501	50	50	53	45	0	43	54	26	55	23	0	0	30	0	31	37	50	47	26	0	0	0	0	0
1064331901	44	47	53	51	21	20	49	37	39	21	18	15	32	0	36	41	45	42	18	0	0	0	0	0
1065307801	24	26	21	0	27	0	22	0	0	0	20	0	24	0	29	21	24	29	0	0	0	0	0	0
1066300601	34	26	27	38	14	11	29	11	26	0	16	9	23	0	23	41	26	41	0	0	0	0	0	0
1067305201	39	27	35	26	36	0	29	36	24	7	38	33	21	0	29	25	31	32	15	0	0	0	0	0
1068305301	27	22	27	0	23	0	11	9	0	13	25	0	15	0	10	27	19	11	0	0	0	0	0	0
1069305601	29	27	33	27	0	28	34	0	28	0	0	0	34	0	31	22	23	29	0	0	0	0	0	0
1070309701	36	27	21	28	0	29	27	0	33	0	0	0	29	0	25	30	27	29	0	0	0	0	0	0
1071310701	42	23	22	34	18	19	28	23	33	18	9	25	14	0	18	33	27	28	11	0	0	0	0	0
