Sample	Gene	Ratio	Heterozygosis	Order
210800083	5UPKIR	0.564259	heterozygosis: unknown	1
1016611301	5UPKIR	0.568881	heterozygosis: unknown	2
446303051	5UPKIR	0.600057	heterozygosis: unknown	3
589000356	5UPKIR	0.629015	heterozygosis: unknown	4
428046012	5UPKIR	0.633218	heterozygosis: unknown	5
111306051	5UPKIR	0.661940	heterozygosis: unknown	6
16907052	5UPKIR	0.665098	heterozygosis: yes (1-2)	7
474730041	5UPKIR	0.669711	heterozygosis: unknown	8
1233501301	5UPKIR	0.670948	heterozygosis: unknown	9
319416011	5UPKIR	0.672296	heterozygosis: unknown	10
280905041	5UPKIR	0.672724	heterozygosis: unknown	11
1060302901	5UPKIR	0.680149	heterozygosis: unknown	12
210800012	5UPKIR	0.686686	heterozygosis: unknown	13
423320091	5UPKIR	0.689357	heterozygosis: yes (1-2)	14
261805051	5UPKIR	0.689692	heterozygosis: yes (1-2)	15
599208021	5UPKIR	0.690796	heterozygosis: unknown	16
527900101	5UPKIR	0.692110	heterozygosis: unknown	17
1012617701	5UPKIR	0.698447	heterozygosis: unknown	18
651923072	5UPKIR	0.704670	heterozygosis: unknown	19
1295009501	5UPKIR	0.710236	heterozygosis: unknown	20
1150414501	5UPKIR	0.712733	heterozygosis: unknown	21
548000496	5UPKIR	0.714517	heterozygosis: unknown	22
1059310901	5UPKIR	0.715324	heterozygosis: unknown	23
1310570901	5UPKIR	0.717140	heterozygosis: unknown	24
177023091	5UPKIR	0.720779	heterozygosis: unknown	25
570122061	5UPKIR	0.725563	heterozygosis: unknown	26
289911091	5UPKIR	0.728136	heterozygosis: unknown	27
321701011	5UPKIR	0.729567	heterozygosis: unknown	28
1090670301	5UPKIR	0.733193	heterozygosis: unknown	29
1017620101	5UPKIR	0.733576	heterozygosis: unknown	30
43140021	5UPKIR	0.734561	heterozygosis: unknown	31
843112071	5UPKIR	0.734738	heterozygosis: unknown	32
1052007701	5UPKIR	0.734864	heterozygosis: unknown	33
42140012	5UPKIR	0.735944	heterozygosis: yes (1-2)	34
1099223302	5UPKIR	0.739421	heterozygosis: unknown	35
1132140901	5UPKIR	0.739591	heterozygosis: unknown	36
515000447	5UPKIR	0.742789	heterozygosis: unknown	37
840007041	5UPKIR	0.744424	heterozygosis: unknown	38
680000556	5UPKIR	0.747039	heterozygosis: unknown	39
340304011	5UPKIR	0.749362	heterozygosis: yes (1-2)	40
210800108	5UPKIR	0.750025	heterozygosis: unknown	41
615800019	5UPKIR	0.752540	heterozygosis: yes (1-2)	42
1190114802	5UPKIR	0.754050	heterozygosis: unknown	43
1058009901	5UPKIR	0.754529	heterozygosis: unknown	44
1072310801	5UPKIR	0.755341	heterozygosis: yes (1-2)	45
820000506	5UPKIR	0.756899	heterozygosis: unknown	46
1097223901	5UPKIR	0.758067	heterozygosis: unknown	47
305100171	5UPKIR	0.759199	heterozygosis: unknown	48
1047326101	5UPKIR	0.759274	heterozygosis: unknown	49
215712101	5UPKIR	0.759518	heterozygosis: unknown	50
488428071	5UPKIR	0.760734	heterozygosis: unknown	51
1166506501	5UPKIR	0.761057	heterozygosis: yes (1-2)	52
1245314301	5UPKIR	0.762123	heterozygosis: unknown	53
374100071	5UPKIR	0.763741	heterozygosis: unknown	54
849106091	5UPKIR	0.763872	heterozygosis: unknown	55
210800057	5UPKIR	0.765584	heterozygosis: unknown	56
210800066	5UPKIR	0.770339	heterozygosis: unknown	57
369814111	5UPKIR	0.771521	heterozygosis: unknown	58
210800016	5UPKIR	0.771710	heterozygosis: unknown	59
345801011	5UPKIR	0.772517	heterozygosis: unknown	60
210800018	5UPKIR	0.776268	heterozygosis: unknown	61
659404021	5UPKIR	0.778046	heterozygosis: unknown	62
191735081	5UPKIR	0.778862	heterozygosis: unknown	63
643417011	5UPKIR	0.780161	heterozygosis: unknown	64
210800076	5UPKIR	0.783391	heterozygosis: unknown	65
393400101	5UPKIR	0.783870	heterozygosis: yes (1-2)	66
603211092	5UPKIR	0.785623	heterozygosis: unknown	67
547000448	5UPKIR	0.787459	heterozygosis: unknown	68
375100081	5UPKIR	0.788345	heterozygosis: unknown	69
864914071	5UPKIR	0.791999	heterozygosis: unknown	70
350817072	5UPKIR	0.792371	heterozygosis: unknown	71
1014604901	5UPKIR	0.793696	heterozygosis: unknown	72
1048328901	5UPKIR	0.793823	heterozygosis: unknown	73
