Sample	Gene	Ratio	Heterozygosis	Order
210800083	HLA-E	0.491771	heterozygosis: yes (1-2)	1
53409011	HLA-E	0.555851	heterozygosis: unknown	2
665921081	HLA-E	0.598239	heterozygosis: unknown	3
177023091	HLA-E	0.603092	heterozygosis: unknown	4
16907052	HLA-E	0.642096	heterozygosis: unknown	5
666442081	HLA-E	0.650567	heterozygosis: yes (1-2)	6
828604051	HLA-E	0.673159	heterozygosis: yes (1-2)	7
864914071	HLA-E	0.675495	heterozygosis: unknown	8
371100011	HLA-E	0.678428	heterozygosis: unknown	9
1072310801	HLA-E	0.679239	heterozygosis: unknown	10
210800033	HLA-E	0.680961	heterozygosis: unknown	11
42140012	HLA-E	0.686694	heterozygosis: yes (1-2)	12
616501091	HLA-E	0.688609	heterozygosis: unknown	13
575300031	HLA-E	0.689429	heterozygosis: unknown	14
69929081	HLA-E	0.690379	heterozygosis: yes (1-2)	15
41130012	HLA-E	0.690409	heterozygosis: unknown	16
1279606101	HLA-E	0.691141	heterozygosis: unknown	17
508308101	HLA-E	0.692266	heterozygosis: unknown	18
1190114802	HLA-E	0.695030	heterozygosis: unknown	19
429046101	HLA-E	0.695462	heterozygosis: unknown	20
114306102	HLA-E	0.699853	heterozygosis: unknown	21
618502071	HLA-E	0.700552	heterozygosis: unknown	22
1017620101	HLA-E	0.702327	heterozygosis: unknown	23
388409011	HLA-E	0.702789	heterozygosis: yes (1-2)	24
155224111	HLA-E	0.703390	heterozygosis: unknown	25
302100071	HLA-E	0.703403	heterozygosis: unknown	26
1295009501	HLA-E	0.706546	heterozygosis: yes (1-2)	27
879809041	HLA-E	0.706792	heterozygosis: unknown	28
682409091	HLA-E	0.709376	heterozygosis: unknown	29
280905041	HLA-E	0.709953	heterozygosis: unknown	30
445303031	HLA-E	0.711279	heterozygosis: unknown	31
329202012	HLA-E	0.712235	heterozygosis: unknown	32
27319021	HLA-E	0.713681	heterozygosis: unknown	33
355101021	HLA-E	0.713710	heterozygosis: unknown	34
584016071	HLA-E	0.719197	heterozygosis: yes (1-2)	35
