Sample	Gene	Ratio	Heterozygosis	Order
36041011	HLA-G	0.533496	heterozygosis: yes (1-2)	1
210800083	HLA-G	0.534915	heterozygosis: yes (1-2)	2
280905041	HLA-G	0.591568	heterozygosis: yes (1-2)	3
820000506	HLA-G	0.613144	heterozygosis: unknown	4
438800029	HLA-G	0.616035	heterozygosis: unknown	5
865000557	HLA-G	0.616232	heterozygosis: unknown	6
215712101	HLA-G	0.638098	heterozygosis: yes (1-2)	7
488428071	HLA-G	0.638222	heterozygosis: yes (1-2)	8
1122217501	HLA-G	0.641992	heterozygosis: unknown	9
210800119	HLA-G	0.648852	heterozygosis: unknown	10
210800126	HLA-G	0.649581	heterozygosis: yes (1-2)	11
467000378	HLA-G	0.652289	heterozygosis: yes (1-2)	12
881813041	HLA-G	0.661720	heterozygosis: unknown	13
619507061	HLA-G	0.670159	heterozygosis: yes (1-2)	14
665921081	HLA-G	0.670743	heterozygosis: yes (1-2)	15
1167510101	HLA-G	0.679735	heterozygosis: yes (>2)	16
183810061	HLA-G	0.681107	heterozygosis: unknown	17
806105102	HLA-G	0.682480	heterozygosis: unknown	18
506417051	HLA-G	0.683476	heterozygosis: unknown	19
1062301301	HLA-G	0.683977	heterozygosis: unknown	20
168921021	HLA-G	0.684400	heterozygosis: yes (1-2)	21
416215041	HLA-G	0.686334	heterozygosis: yes (>2)	22
16907052	HLA-G	0.687319	heterozygosis: yes (1-2)	23
166919061	HLA-G	0.692780	heterozygosis: unknown	24
53409011	HLA-G	0.693809	heterozygosis: yes (1-2)	25
1160534602	HLA-G	0.696097	heterozygosis: unknown	26
257801021	HLA-G	0.697432	heterozygosis: yes (1-2)	27
1018621701	HLA-G	0.698251	heterozygosis: unknown	28
218208091	HLA-G	0.699066	heterozygosis: unknown	29
1022306301	HLA-G	0.699787	heterozygosis: unknown	30
437202011	HLA-G	0.699822	heterozygosis: unknown	31
157610031	HLA-G	0.703420	heterozygosis: yes (1-2)	32
671208082	HLA-G	0.704068	heterozygosis: unknown	33
210800037	HLA-G	0.705723	heterozygosis: unknown	34
1116208702	HLA-G	0.708017	heterozygosis: unknown	35
694209052	HLA-G	0.708031	heterozygosis: yes (1-2)	36
522715031	HLA-G	0.711641	heterozygosis: unknown	37
1101303201	HLA-G	0.712427	heterozygosis: yes (1-2)	38
151228102	HLA-G	0.714157	heterozygosis: unknown	39
572122013	HLA-G	0.714304	heterozygosis: unknown	40
210800100	HLA-G	0.715418	heterozygosis: unknown	41
855227091	HLA-G	0.716024	heterozygosis: yes (1-2)	42
434800024	HLA-G	0.716109	heterozygosis: yes (1-2)	43
198305011	HLA-G	0.718235	heterozygosis: unknown	44
210800139	HLA-G	0.718961	heterozygosis: unknown	45
651923072	HLA-G	0.721545	heterozygosis: unknown	46
177023091	HLA-G	0.722249	heterozygosis: unknown	47
210800120	HLA-G	0.722840	heterozygosis: unknown	48
1003210301	HLA-G	0.723631	heterozygosis: unknown	49
474730041	HLA-G	0.725948	heterozygosis: unknown	50
667934102	HLA-G	0.728733	heterozygosis: unknown	51
170918061	HLA-G	0.730684	heterozygosis: yes (1-2)	52
1072310801	HLA-G	0.731255	heterozygosis: unknown	53
832901032	HLA-G	0.731435	heterozygosis: unknown	54
618502071	HLA-G	0.732995	heterozygosis: unknown	55
210800118	HLA-G	0.733510	heterozygosis: unknown	56
1307701101	HLA-G	0.736363	heterozygosis: unknown	57
589000356	HLA-G	0.736580	heterozygosis: unknown	58
113306062	HLA-G	0.736582	heterozygosis: unknown	59
1053009701	HLA-G	0.737135	heterozygosis: yes (1-2)	60
137701061	HLA-G	0.737415	heterozygosis: unknown	61
210800094	HLA-G	0.738567	heterozygosis: yes (1-2)	62
515000447	HLA-G	0.739300	heterozygosis: unknown	63
1137118901	HLA-G	0.739880	heterozygosis: unknown	64
1032827101	HLA-G	0.740519	heterozygosis: unknown	65
210800088	HLA-G	0.741236	heterozygosis: yes (1-2)	66
1095415601	HLA-G	0.742202	heterozygosis: unknown	67
210800051	HLA-G	0.742315	heterozygosis: unknown	68
571000358	HLA-G	0.743735	heterozygosis: unknown	69
258801022	HLA-G	0.744084	heterozygosis: unknown	70
1129125002	HLA-G	0.744154	heterozygosis: yes (1-2)	71
538224061	HLA-G	0.745063	heterozygosis: unknown	72
230727081	HLA-G	0.745326	heterozygosis: yes (1-2)	73
1250226501	HLA-G	0.745651	heterozygosis: yes (1-2)	74
1115534601	HLA-G	0.746137	heterozygosis: yes (1-2)	75
404808011	HLA-G	0.746995	heterozygosis: yes (1-2)	76
266102011	HLA-G	0.747471	heterozygosis: unknown	77
348814061	HLA-G	0.748635	heterozygosis: yes (1-2)	78
278900185	HLA-G	0.749244	heterozygosis: unknown	79
43140021	HLA-G	0.749263	heterozygosis: yes (1-2)	80
210800065	HLA-G	0.749533	heterozygosis: yes (1-2)	81
842112081	HLA-G	0.749677	heterozygosis: unknown	82
402000439	HLA-G	0.750283	heterozygosis: unknown	83
810200141	HLA-G	0.750325	heterozygosis: unknown	84
210800063	HLA-G	0.754487	heterozygosis: yes (1-2)	85
210800044	HLA-G	0.755212	heterozygosis: yes (1-2)	86
1144306901	HLA-G	0.755394	heterozygosis: yes (1-2)	87
1205554501	HLA-G	0.756061	heterozygosis: unknown	88
523704101	HLA-G	0.756225	heterozygosis: unknown	89
366123012	HLA-G	0.756330	heterozygosis: yes (1-2)	90
286647051	HLA-G	0.757291	heterozygosis: yes (1-2)	91
210800033	HLA-G	0.758402	heterozygosis: unknown	92
31823101	HLA-G	0.760175	heterozygosis: yes (1-2)	93
1099223302	HLA-G	0.760217	heterozygosis: yes (1-2)	94
615800019	HLA-G	0.760775	heterozygosis: unknown	95
828604051	HLA-G	0.761990	heterozygosis: yes (1-2)	96
1035816701	HLA-G	0.763583	heterozygosis: unknown	97
1079410601	HLA-G	0.764508	heterozygosis: yes (1-2)	98
259801031	HLA-G	0.764660	heterozygosis: unknown	99
858000540	HLA-G	0.764762	heterozygosis: yes (1-2)	100
393400101	HLA-G	0.765309	heterozygosis: unknown	101
551800070	HLA-G	0.765658	heterozygosis: unknown	102
1263534501	HLA-G	0.765846	heterozygosis: unknown	103
217211042	HLA-G	0.766485	heterozygosis: yes (1-2)	104
141707011	HLA-G	0.767533	heterozygosis: yes (1-2)	105
1135327301	HLA-G	0.768119	heterozygosis: yes (1-2)	106
3173319102	HLA-G	0.769022	heterozygosis: unknown	107
172901102	HLA-G	0.769749	heterozygosis: yes (1-2)	108
510512061	HLA-G	0.769939	heterozygosis: unknown	109
1138100101	HLA-G	0.770163	heterozygosis: unknown	110
461911071	HLA-G	0.770181	heterozygosis: yes (1-2)	111
12813033	HLA-G	0.770683	heterozygosis: yes (>2)	112
210800078	HLA-G	0.771743	heterozygosis: unknown	113
656901101	HLA-G	0.772331	heterozygosis: unknown	114
435800114	HLA-G	0.772868	heterozygosis: yes (1-2)	115
210800112	HLA-G	0.773672	heterozygosis: yes (1-2)	116
243607091	HLA-G	0.773746	heterozygosis: yes (1-2)	117
1204538102	HLA-G	0.774360	heterozygosis: unknown	118
368814102	HLA-G	0.774497	heterozygosis: yes (1-2)	119
423320091	HLA-G	0.774519	heterozygosis: yes (1-2)	120
1097223901	HLA-G	0.774958	heterozygosis: yes (1-2)	121
584016071	HLA-G	0.775945	heterozygosis: unknown	122
210800045	HLA-G	0.776477	heterozygosis: unknown	123
41130012	HLA-G	0.776574	heterozygosis: unknown	124
840007041	HLA-G	0.776613	heterozygosis: unknown	125
297100011	HLA-G	0.777003	heterozygosis: yes (1-2)	126
524900021	HLA-G	0.777224	heterozygosis: yes (1-2)	127
251226081	HLA-G	0.777791	heterozygosis: unknown	128
260803041	HLA-G	0.777852	heterozygosis: unknown	129
835930011	HLA-G	0.777910	heterozygosis: yes (1-2)	130
1132140901	HLA-G	0.778001	heterozygosis: yes (1-2)	131
210800136	HLA-G	0.778584	heterozygosis: yes (1-2)	132
492910021	HLA-G	0.778693	heterozygosis: yes (1-2)	133
1048328901	HLA-G	0.779852	heterozygosis: yes (1-2)	134
1321617901	HLA-G	0.780538	heterozygosis: unknown	135
519200295	HLA-G	0.782145	heterozygosis: unknown	136
376100111	HLA-G	0.782705	heterozygosis: yes (1-2)	137
682409091	HLA-G	0.783986	heterozygosis: yes (>2)	138
272106071	HLA-G	0.784159	heterozygosis: yes (1-2)	139
381016011	HLA-G	0.785176	heterozygosis: yes (1-2)	140
10227052	HLA-G	0.785215	heterozygosis: unknown	141
121418032	HLA-G	0.786073	heterozygosis: unknown	142
451303101	HLA-G	0.786414	heterozygosis: unknown	143
466000377	HLA-G	0.786601	heterozygosis: unknown	144
836930072	HLA-G	0.786612	heterozygosis: yes (1-2)	145
429046101	HLA-G	0.787210	heterozygosis: unknown	146
417218092	HLA-G	0.787738	heterozygosis: yes (1-2)	147
582011101	HLA-G	0.788653	heterozygosis: yes (1-2)	148
508308101	HLA-G	0.788714	heterozygosis: unknown	149
1091616501	HLA-G	0.788725	heterozygosis: unknown	150
210800093	HLA-G	0.788726	heterozygosis: yes (1-2)	151
868610051	HLA-G	0.788888	heterozygosis: unknown	152
1273214701	HLA-G	0.789027	heterozygosis: unknown	153
254911101	HLA-G	0.789124	heterozygosis: yes (1-2)	154
431106051	HLA-G	0.789796	heterozygosis: unknown	155
203323011	HLA-G	0.790306	heterozygosis: yes (>2)	156
659404021	HLA-G	0.791162	heterozygosis: unknown	157
1017620101	HLA-G	0.791658	heterozygosis: yes (1-2)	158
140706102	HLA-G	0.791863	heterozygosis: yes (1-2)	159
503914062	HLA-G	0.792350	heterozygosis: unknown	160
643417011	HLA-G	0.793039	heterozygosis: yes (1-2)	161
677226041	HLA-G	0.793814	heterozygosis: unknown	162
1266700901	HLA-G	0.794854	heterozygosis: unknown	163
1238224501	HLA-G	0.795570	heterozygosis: yes (1-2)	164
80418051	HLA-G	0.796112	heterozygosis: yes (1-2)	165
106301032	HLA-G	0.796396	heterozygosis: unknown	166
247327031	HLA-G	0.796426	heterozygosis: unknown	167
1093410201	HLA-G	0.796662	heterozygosis: unknown	168
1052007701	HLA-G	0.797428	heterozygosis: yes (1-2)	169
646405061	HLA-G	0.797526	heterozygosis: yes (1-2)	170
210800038	HLA-G	0.798867	heterozygosis: unknown	171
1109317202	HLA-G	0.799306	heterozygosis: unknown	172
210800107	HLA-G	0.799649	heterozygosis: unknown	173
894207061	HLA-G	0.799852	heterozygosis: unknown	174
42140012	HLA-G	0.800267	heterozygosis: yes (1-2)	175
245309062	HLA-G	0.800486	heterozygosis: unknown	176
837001011	HLA-G	0.800589	heterozygosis: unknown	177
1036806701	HLA-G	0.800599	heterozygosis: unknown	178
355101021	HLA-G	0.801406	heterozygosis: yes (1-2)	179
498929061	HLA-G	0.801466	heterozygosis: yes (1-2)	180
692420091	HLA-G	0.803523	heterozygosis: unknown	181
349819101	HLA-G	0.803534	heterozygosis: unknown	182
577000032	HLA-G	0.803760	heterozygosis: unknown	183
803123042	HLA-G	0.804260	heterozygosis: unknown	184
641427041	HLA-G	0.805728	heterozygosis: yes (1-2)	185
210800115	HLA-G	0.806085	heterozygosis: yes (1-2)	186
1279606101	HLA-G	0.806257	heterozygosis: unknown	187
210800061	HLA-G	0.806582	heterozygosis: unknown	188
1103307601	HLA-G	0.806592	heterozygosis: unknown	189
552809062	HLA-G	0.807506	heterozygosis: unknown	190
804131031	HLA-G	0.807756	heterozygosis: unknown	191
165919051	HLA-G	0.808962	heterozygosis: yes (1-2)	192
210800104	HLA-G	0.809429	heterozygosis: unknown	193
1040822501	HLA-G	0.809793	heterozygosis: unknown	194
588314051	HLA-G	0.810130	heterozygosis: yes (1-2)	195
319416011	HLA-G	0.811187	heterozygosis: unknown	196
611508041	HLA-G	0.811676	heterozygosis: unknown	197
521601061	HLA-G	0.812102	heterozygosis: yes (1-2)	198
1211205401	HLA-G	0.812575	heterozygosis: yes (1-2)	199
697206072	HLA-G	0.813047	heterozygosis: yes (1-2)	200
879809041	HLA-G	0.813099	heterozygosis: yes (1-2)	201
864914071	HLA-G	0.813470	heterozygosis: unknown	202
445303031	HLA-G	0.813949	heterozygosis: yes (1-2)	203
539224062	HLA-G	0.814460	heterozygosis: yes (>2)	204
331201042	HLA-G	0.814849	heterozygosis: yes (1-2)	205
204327071	HLA-G	0.814932	heterozygosis: yes (1-2)	206
14833012	HLA-G	0.815589	heterozygosis: yes (1-2)	207
210800012	HLA-G	0.815676	heterozygosis: unknown	208
405811051	HLA-G	0.815701	heterozygosis: yes (1-2)	209
220211091	HLA-G	0.815964	heterozygosis: yes (1-2)	210
146509051	HLA-G	0.816647	heterozygosis: yes (1-2)	211
1237235701	HLA-G	0.817027	heterozygosis: unknown	212
1165600901	HLA-G	0.817079	heterozygosis: yes (1-2)	213
332205021	HLA-G	0.817223	heterozygosis: yes (1-2)	214
861812011	HLA-G	0.817275	heterozygosis: yes (1-2)	215
210800095	HLA-G	0.817473	heterozygosis: unknown	216
1189134901	HLA-G	0.817742	heterozygosis: yes (1-2)	217
27319021	HLA-G	0.817993	heterozygosis: yes (1-2)	218
888000458	HLA-G	0.818648	heterozygosis: yes (1-2)	219
470201041	HLA-G	0.818705	heterozygosis: unknown	220
458904031	HLA-G	0.818880	heterozygosis: yes (1-2)	221
399725052	HLA-G	0.819536	heterozygosis: yes (1-2)	222
475700124	HLA-G	0.820649	heterozygosis: unknown	223
1058009901	HLA-G	0.821439	heterozygosis: unknown	224
401217031	HLA-G	0.822045	heterozygosis: unknown	225
1054020501	HLA-G	0.822449	heterozygosis: yes (1-2)	226
210800066	HLA-G	0.822774	heterozygosis: yes (1-2)	227
69929081	HLA-G	0.823188	heterozygosis: yes (1-2)	228
