Sample	Gene	Ratio	Heterozygosis	Order
1026319101	KIR2DP1	0.000000	heterozygosis: unknown	1
1026319101	KIR2DL1	0.000000	heterozygosis: unknown	1
1065307801	KIR2DP1	0.000000	heterozygosis: unknown	2
1065307801	KIR2DL1	0.021474	heterozygosis: unknown	2
1068305301	KIR2DP1	0.000000	heterozygosis: unknown	3
1068305301	KIR2DL1	0.046366	heterozygosis: unknown	3
1097223901	KIR2DP1	0.000000	heterozygosis: unknown	4
1097223901	KIR2DL1	0.005445	heterozygosis: unknown	4
1122217501	KIR2DP1	0.000000	heterozygosis: unknown	5
1122217501	KIR2DL1	0.000782	heterozygosis: unknown	5
1198546501	KIR2DP1	0.000000	heterozygosis: unknown	6
1198546501	KIR2DL1	0.003831	heterozygosis: unknown	6
1241322501	KIR2DP1	0.000000	heterozygosis: unknown	7
1241322501	KIR2DL1	0.007529	heterozygosis: unknown	7
127923021	KIR2DP1	0.000000	heterozygosis: unknown	8
127923021	KIR2DL1	0.021941	heterozygosis: unknown	8
1299323301	KIR2DP1	0.000000	heterozygosis: unknown	9
1299323301	KIR2DL1	0.010580	heterozygosis: unknown	9
1344203301	KIR2DP1	0.000000	heterozygosis: unknown	10
1344203301	KIR2DL1	0.000000	heterozygosis: unknown	10
145709101	KIR2DP1	0.000000	heterozygosis: unknown	11
145709101	KIR2DL1	0.000000	heterozygosis: unknown	11
158718101	KIR2DP1	0.000000	heterozygosis: unknown	12
158718101	KIR2DL1	0.011245	heterozygosis: unknown	12
188711071	KIR2DP1	0.000000	heterozygosis: unknown	13
188711071	KIR2DL1	0.027960	heterozygosis: unknown	13
210800043	KIR2DP1	0.000000	heterozygosis: unknown	14
210800043	KIR2DL1	0.005058	heterozygosis: unknown	14
210800081	KIR2DP1	0.000000	heterozygosis: unknown	15
210800081	KIR2DL1	0.000000	heterozygosis: unknown	15
210800119	KIR2DP1	0.000000	heterozygosis: unknown	16
210800119	KIR2DL1	0.000000	heterozygosis: unknown	16
210800137	KIR2DP1	0.000000	heterozygosis: unknown	17
210800137	KIR2DL1	0.004612	heterozygosis: unknown	17
217211042	KIR2DP1	0.000000	heterozygosis: unknown	18
217211042	KIR2DL1	0.006348	heterozygosis: unknown	18
251226081	KIR2DP1	0.000000	heterozygosis: unknown	19
251226081	KIR2DL1	0.002130	heterozygosis: unknown	19
320712091	KIR2DP1	0.000000	heterozygosis: unknown	20
320712091	KIR2DL1	0.002223	heterozygosis: unknown	20
376100111	KIR2DP1	0.000000	heterozygosis: unknown	21
376100111	KIR2DL1	0.002796	heterozygosis: unknown	21
471201042	KIR2DP1	0.000000	heterozygosis: unknown	22
471201042	KIR2DL1	0.010930	heterozygosis: unknown	22
