Sample	Gene	Ratio	Heterozygosis	Order
1023311101	KIR2DS4	0.000000	heterozygosis: unknown	1
1023311101	KIR2DS1	0.823043	heterozygosis: unknown	1
1027328701	KIR2DS4	0.000000	heterozygosis: unknown	2
1027328701	KIR2DS1	0.796145	heterozygosis: unknown	2
1031824301	KIR2DS4	0.000000	heterozygosis: unknown	3
1031824301	KIR2DS1	0.971358	heterozygosis: unknown	3
1046324501	KIR2DS4	0.000000	heterozygosis: unknown	4
1046324501	KIR2DS1	0.956848	heterozygosis: unknown	4
1059310901	KIR2DS4	0.000000	heterozygosis: unknown	5
1059310901	KIR2DS1	0.665816	heterozygosis: unknown	5
1111319301	KIR2DS4	0.000000	heterozygosis: unknown	6
1111319301	KIR2DS1	0.941580	heterozygosis: unknown	6
1128125001	KIR2DS4	0.000000	heterozygosis: unknown	7
1128125001	KIR2DS1	0.000000	heterozygosis: unknown	7
1137118901	KIR2DS4	0.000000	heterozygosis: unknown	8
1137118901	KIR2DS1	0.903958	heterozygosis: unknown	8
1157101101	KIR2DS4	0.000000	heterozygosis: unknown	9
1157101101	KIR2DS1	1.019694	heterozygosis: unknown	9
1177609101	KIR2DS4	0.000000	heterozygosis: unknown	10
1177609101	KIR2DS1	0.941341	heterozygosis: unknown	10
1199548101	KIR2DS4	0.000000	heterozygosis: unknown	11
1199548101	KIR2DS1	1.042653	heterozygosis: unknown	11
1200535701	KIR2DS4	0.000000	heterozygosis: unknown	12
1200535701	KIR2DS1	1.013353	heterozygosis: unknown	12
1277601601	KIR2DS4	0.000000	heterozygosis: unknown	13
1277601601	KIR2DS1	0.992021	heterozygosis: unknown	13
1286518101	KIR2DS4	0.000000	heterozygosis: unknown	14
1286518101	KIR2DS1	0.417419	heterozygosis: unknown	14
1297013901	KIR2DS4	0.000000	heterozygosis: unknown	15
1297013901	KIR2DS1	0.955524	heterozygosis: unknown	15
158718101	KIR2DS4	0.000000	heterozygosis: unknown	16
158718101	KIR2DS1	1.154084	heterozygosis: unknown	16
160230011	KIR2DS4	0.000000	heterozygosis: unknown	17
160230011	KIR2DS1	0.813478	heterozygosis: unknown	17
183810061	KIR2DS4	0.000000	heterozygosis: unknown	18
