Sample	Gene	Ratio	Heterozygosis	Order
1000206901	KIR3DL3	1.000000	heterozygosis: unknown	1
100102082	KIR3DL3	1.000000	heterozygosis: yes (>2)	2
1001207701	KIR3DL3	1.000000	heterozygosis: unknown	3
1002209901	KIR3DL3	1.000000	heterozygosis: yes (>2)	4
1003210301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	5
1004211301	KIR3DL3	1.000000	heterozygosis: yes (>2)	6
1005214101	KIR3DL3	1.000000	heterozygosis: yes (1-2)	7
1007215301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	8
1008216701	KIR3DL3	1.000000	heterozygosis: unknown	9
1009228901	KIR3DL3	1.000000	heterozygosis: unknown	10
1010616901	KIR3DL3	1.000000	heterozygosis: unknown	11
101106071	KIR3DL3	1.000000	heterozygosis: unknown	12
1011616902	KIR3DL3	1.000000	heterozygosis: unknown	13
1012617701	KIR3DL3	1.000000	heterozygosis: unknown	14
1013617501	KIR3DL3	1.000000	heterozygosis: yes (>2)	15
1014604901	KIR3DL3	1.000000	heterozygosis: unknown	16
1015611101	KIR3DL3	1.000000	heterozygosis: yes (1-2)	17
1016611301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	18
1017620101	KIR3DL3	1.000000	heterozygosis: yes (>2)	19
1018621701	KIR3DL3	1.000000	heterozygosis: yes (1-2)	20
1019621702	KIR3DL3	1.000000	heterozygosis: yes (>2)	21
1020330101	KIR3DL3	1.000000	heterozygosis: unknown	22
102116021	KIR3DL3	1.000000	heterozygosis: unknown	23
1022306301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	24
10227052	KIR3DL3	1.000000	heterozygosis: yes (1-2)	25
1023311101	KIR3DL3	1.000000	heterozygosis: yes (1-2)	26
1024311301	KIR3DL3	1.000000	heterozygosis: unknown	27
1025318501	KIR3DL3	1.000000	heterozygosis: unknown	28
1026319101	KIR3DL3	1.000000	heterozygosis: unknown	29
1027328701	KIR3DL3	1.000000	heterozygosis: yes (1-2)	30
1028328901	KIR3DL3	1.000000	heterozygosis: unknown	31
1029307901	KIR3DL3	1.000000	heterozygosis: yes (1-2)	32
1030315301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	33
103116022	KIR3DL3	1.000000	heterozygosis: unknown	34
1031824301	KIR3DL3	1.000000	heterozygosis: unknown	35
1032827101	KIR3DL3	1.000000	heterozygosis: yes (1-2)	36
1034803101	KIR3DL3	1.000000	heterozygosis: yes (1-2)	37
1035816701	KIR3DL3	1.000000	heterozygosis: yes (1-2)	38
1036806701	KIR3DL3	1.000000	heterozygosis: unknown	39
1037800501	KIR3DL3	1.000000	heterozygosis: yes (>2)	40
1038800301	KIR3DL3	1.000000	heterozygosis: unknown	41
1039801301	KIR3DL3	1.000000	heterozygosis: yes (>2)	42
1040822501	KIR3DL3	1.000000	heterozygosis: unknown	43
104116082	KIR3DL3	1.000000	heterozygosis: yes (1-2)	44
1041302101	KIR3DL3	1.000000	heterozygosis: yes (1-2)	45
1042404301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	46
1043306901	KIR3DL3	1.000000	heterozygosis: unknown	47
1044307701	KIR3DL3	1.000000	heterozygosis: yes (1-2)	48
1045318901	KIR3DL3	1.000000	heterozygosis: yes (>2)	49
1046324501	KIR3DL3	1.000000	heterozygosis: yes (>2)	50
1047326101	KIR3DL3	1.000000	heterozygosis: unknown	51
1048328901	KIR3DL3	1.000000	heterozygosis: unknown	52
1050333901	KIR3DL3	1.000000	heterozygosis: yes (1-2)	53
1051007301	KIR3DL3	1.000000	heterozygosis: yes (>2)	54
1052007701	KIR3DL3	1.000000	heterozygosis: unknown	55
1053009701	KIR3DL3	1.000000	heterozygosis: yes (>2)	56
105301031	KIR3DL3	1.000000	heterozygosis: yes (1-2)	57
1054020501	KIR3DL3	1.000000	heterozygosis: yes (>2)	58
1055016301	KIR3DL3	1.000000	heterozygosis: unknown	59
1057014701	KIR3DL3	1.000000	heterozygosis: unknown	60
1058009901	KIR3DL3	1.000000	heterozygosis: unknown	61
1059310901	KIR3DL3	1.000000	heterozygosis: unknown	62
1060302901	KIR3DL3	1.000000	heterozygosis: unknown	63
1061309301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	64
1062301301	KIR3DL3	1.000000	heterozygosis: yes (>2)	65
106301032	KIR3DL3	1.000000	heterozygosis: yes (1-2)	66
1063331501	KIR3DL3	1.000000	heterozygosis: yes (1-2)	67
1064331901	KIR3DL3	1.000000	heterozygosis: yes (1-2)	68
1065307801	KIR3DL3	1.000000	heterozygosis: yes (1-2)	69
1066300601	KIR3DL3	1.000000	heterozygosis: yes (>2)	70
1067305201	KIR3DL3	1.000000	heterozygosis: unknown	71
1068305301	KIR3DL3	1.000000	heterozygosis: yes (1-2)	72
1069305601	KIR3DL3	1.000000	heterozygosis: yes (1-2)	73
1070309701	KIR3DL3	1.000000	heterozygosis: yes (1-2)	74
1071310701	KIR3DL3	1.000000	heterozygosis: unknown	75
1072310801	KIR3DL3	1.000000	heterozygosis: yes (1-2)	76
