Sample	Gene	Ratio	Heterozygosis	Order
210800083	LILRB2	0.287844	heterozygosis: unknown	1
508308101	LILRB2	0.309801	heterozygosis: yes (1-2)	2
215712101	LILRB2	0.309828	heterozygosis: yes (1-2)	3
1286518101	LILRB2	0.310228	heterozygosis: unknown	4
280905041	LILRB2	0.314277	heterozygosis: yes (1-2)	5
503914062	LILRB2	0.318739	heterozygosis: yes (>2)	6
1307701101	LILRB2	0.320976	heterozygosis: unknown	7
191735081	LILRB2	0.323190	heterozygosis: yes (1-2)	8
1329603702	LILRB2	0.325921	heterozygosis: unknown	9
1059310901	LILRB2	0.332120	heterozygosis: unknown	10
210800065	LILRB2	0.335398	heterozygosis: unknown	11
229727101	LILRB2	0.338064	heterozygosis: unknown	12
1095415601	LILRB2	0.341072	heterozygosis: yes (1-2)	13
258801022	LILRB2	0.341527	heterozygosis: unknown	14
362105011	LILRB2	0.343049	heterozygosis: yes (1-2)	15
1058009901	LILRB2	0.343541	heterozygosis: yes (1-2)	16
1160534602	LILRB2	0.345318	heterozygosis: unknown	17
386832101	LILRB2	0.349214	heterozygosis: yes (1-2)	18
488428071	LILRB2	0.349912	heterozygosis: yes (>2)	19
383007071	LILRB2	0.350128	heterozygosis: unknown	20
1185611601	LILRB2	0.352680	heterozygosis: unknown	21
1030315301	LILRB2	0.353701	heterozygosis: yes (1-2)	22
1205554501	LILRB2	0.354008	heterozygosis: yes (1-2)	23
410817061	LILRB2	0.354556	heterozygosis: yes (1-2)	24
286647051	LILRB2	0.354923	heterozygosis: yes (1-2)	25
15843041	LILRB2	0.355852	heterozygosis: yes (>2)	26
693209051	LILRB2	0.357457	heterozygosis: yes (1-2)	27
1053009701	LILRB2	0.358273	heterozygosis: yes (1-2)	28
858000540	LILRB2	0.358342	heterozygosis: yes (1-2)	29
864914071	LILRB2	0.358640	heterozygosis: yes (>2)	30
507933012	LILRB2	0.359310	heterozygosis: yes (1-2)	31
174003031	LILRB2	0.359712	heterozygosis: yes (>2)	32
254911101	LILRB2	0.360897	heterozygosis: yes (1-2)	33
210800105	LILRB2	0.361098	heterozygosis: yes (>2)	34
1165600901	LILRB2	0.362160	heterozygosis: unknown	35
1099223302	LILRB2	0.362347	heterozygosis: unknown	36
554824101	LILRB2	0.363343	heterozygosis: yes (>2)	37
1133814801	LILRB2	0.363395	heterozygosis: unknown	38
1041302101	LILRB2	0.364099	heterozygosis: unknown	39
1101303201	LILRB2	0.364608	heterozygosis: yes (1-2)	40
210800137	LILRB2	0.365045	heterozygosis: unknown	41
210800100	LILRB2	0.365092	heterozygosis: unknown	42
33838042	LILRB2	0.365377	heterozygosis: yes (>2)	43
1138100101	LILRB2	0.366002	heterozygosis: unknown	44
827607111	LILRB2	0.366838	heterozygosis: unknown	45
80418051	LILRB2	0.367539	heterozygosis: unknown	46
369814111	LILRB2	0.367977	heterozygosis: yes (>2)	47
615800019	LILRB2	0.368123	heterozygosis: yes (1-2)	48
283910031	LILRB2	0.368973	heterozygosis: yes (1-2)	49
577000032	LILRB2	0.369401	heterozygosis: yes (>2)	50
203323011	LILRB2	0.369513	heterozygosis: unknown	51
