SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
1000206901	1.18708	1.03714	0.855613	1.10259	0.380477	0.577745	1.0241	1.03048	1.10467	0.776471	0.491327	0.904064	0.550489	0	0.651142	1.05103	1	1.11782	0.472595	0.534108	0.43834	0.199559	0.437951	0.444557
100102082	0.937036	0.772435	1.01041	0.974902	0	1.04312	0.984919	0	0.910477	0	0	0	0.926166	0	0.911545	1.10174	1	0.922553	0	0.486889	0.460969	0.400765	0.407981	0.323378
1001207701	1.02738	0.985414	0.951585	1.30657	0	1.04482	0.976258	0.00718661	0.984582	0	0	0	1.10956	0	1.04859	1.06737	1	1.16086	0	0.431973	0.495216	0.121638	0.515671	0.384173
1002209901	0.928053	0.883582	0.843637	0.579066	0.393036	0.496286	0.874708	0	0.386759	0	0.366506	0	0.829644	0	0.826696	0.893673	1	0.670491	0	0.496495	0.475792	0.394967	0.488192	0.429167
1003210301	0.901875	0.759029	0.723631	0.940794	0.390137	0.36073	1.24914	0.866746	0.856312	0.390374	0.418658	0.356992	0.505719	0.225631	0.746096	0.761619	1	1.12641	0.874899	0.435098	0.453825	0.106465	0.450046	0.523335
1004211301	0.984588	0.988995	0.925161	0.519042	0.471795	0.497593	1.02724	0.00306048	0.529216	0	0.49075	0	1.09691	0	1.08503	0.943887	1	1.03707	0	0.4968	0.458402	0.348835	0.623234	0.53183
1005214101	1.17464	0.805961	0.878221	1.04737	9.83382e-05	0.903876	0.953719	0	1.026	0	0	0	1.20052	0	0.948595	0.879655	1	1.23078	0	0.501584	0.488014	0.0135006	0.470536	0.510237
1007215301	1.21746	0.909037	0.876168	1.02353	1.00631	0	1.19192	1.3773	0.928591	0.394639	0.451054	1.18764	0.436502	0	0.625455	0.959265	1	0.952152	0.482774	0.545991	0.425161	0.341099	0.404617	0.474019
1008216701	1.24659	1.09008	0.929131	1.06309	0.586284	0.697107	0.902453	0.539182	1.58407	0	0.636543	0.46053	1.20259	0	1.19485	1.12872	1	1.12034	0	0.46225	0.482038	0.426152	0.467611	0.468379
1009228901	0.927812	1.0547	0.982939	1.01023	0	0.991261	1.20825	0	1.08126	0	0	0	1.02664	0	0.976064	1.20707	1	1.14751	0	0.498112	0.450898	0.186608	0.572703	0.462897
