SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
1000206901	39.5584	35.1072	33.2663	32.4532	13.3275	21.0844	31.788	38.2545	33.8023	18.1053	16.2528	22.2	19.1807	0	16.5771	33.6688	34.9214	39.5379	18.5572	37.3036	30.6149	13.9377	30.5877	31.0491
100102082	32.7817	25.2413	31.4525	36.6806	0	36.2755	32.2511	0	29.6646	0	0	0	32.03	0	37.4217	31.3657	34.5745	29.2191	0	33.6679	31.8755	27.7125	28.2115	22.3612
1001207701	27.7132	28.8825	29.2827	41.9265	0	32.7347	30.8826	0.46601	34.0162	0	0	0	35.636	0	31.682	34.1967	32.4221	36.3685	0	28.011	32.1119	7.8875	33.4383	24.9114
1002209901	39.0787	39.4412	36.0816	22.035	14.5943	17.1242	37.6691	0	19.1948	0	19.5428	0	36.956	0	38.7594	38.2385	42.0528	33.8271	0	41.758	40.0168	33.2189	41.0597	36.0954
1003210301	37.6574	35.2594	33.2863	32.4562	16.1695	14.6882	52.173	36.6393	35.7826	17.1219	14.7793	12.5155	21.9268	18.5236	21.1367	33.6062	41.0486	48.6273	36.3757	35.7204	37.2578	8.74051	36.9475	42.9643
1004211301	34.6294	39.2894	32.4174	16.5765	16.3459	20.4147	37.7725	0.225551	18.4101	0	19.9104	0	38.5724	0	42.0316	33.7974	36.8491	40.6648	0	36.6132	33.7834	25.7085	45.9312	39.1948
1005214101	40.3807	31.6468	31.4049	36.8169	0.00680273	37.3721	34.5313	0	35.3392	0	0	0	42.1713	0	32.0806	32.5522	34.5885	41.12	0	34.6981	33.7593	0.93393	32.5503	35.2966
1007215301	37.0381	31.486	28.1852	31.0781	31.0794	0	37.6269	46.4306	35.0454	15.7737	18.354	31.6668	16.2598	0	18.4849	33.6589	32.935	34.326	15.9007	35.9645	28.0054	22.4682	26.6521	31.2236
1008216701	38.6269	32.5796	30.9681	34.4586	14.6948	26.184	26.9819	14.1661	47.5106	0	18.9473	14.0603	34.7576	0	37.8141	31.4136	30.5976	32.0776	0	28.2875	29.4985	26.0785	28.6156	28.6625
1009228901	32.8579	40.7822	38.7202	35.8027	0	38.1151	48.3264	0	39.0993	0	0	0	41.0466	0	44.6238	41.7551	41.4285	41.9992	0	41.272	37.3601	15.4618	47.4524	38.3542
1010616901	39.6929	35.7809	41.2679	19.9959	17.657	17.8657	38.097	17.743	20.6859	16.0815	17.9433	0	21.7154	22.6604	18.9952	40.5321	37.3006	39.3775	21.9682	42.1637	40.3035	9.9945	40.4036	35.6771
101106071	37.7868	32.4465	34.5718	16.161	33.8853	0	22.5863	36.4207	18.0772	18.5959	41.907	11.4116	17.1252	14.4339	16.3847	36.782	36.6509	15.1604	0	38.3048	30.299	19.3626	31.7015	28.1353
1011616902	33.797	37.0575	34.38	31.453	16.9751	20.4356	30.5117	19.8332	40.8565	1.45842	0	0	44.281	21.4125	42.473	37.5223	35.9572	41.8866	0	34.0209	34.0196	29.5641	40.7898	40.2558
1012617701	28.9112	51.1967	44.2456	37.1554	0	45.4364	46.6099	22.4347	40.8059	22.199	0	0	19.6722	28.1218	20.0375	46.3293	48.0699	40.9148	27.9929	46.2763	49.4212	12.8672	49.5987	52.4067
1013617501	40.6244	37.7567	41.6461	23.4961	0	48.6516	19.8063	0	41.9475	13.5614	0	0	21.9462	0	19.8016	37.0447	44.9624	18.3448	0	32.9166	43.5748	19.7144	45.9422	38.2485
1014604901	39.7817	42.0693	44.9384	43.6	0	46.0553	42.8908	24.7916	45.1396	19.6916	0	0	21.4155	23.9666	25.0545	45.6289	51.7176	52.4337	26.5816	38.4193	45.7197	13.8702	44.8001	40.696
1015611101	39.5787	40.2026	36.2106	30.1224	18.5672	20.9616	36.2015	35.4376	42.9042	17.0213	17.0144	14.4042	20.1323	18.3732	19.3754	40.7882	38.167	33.5239	19.8433	34.0485	42.2699	1.88719	38.7172	44.327
1016611301	26.368	52.3785	50.3206	43.7274	19.902	20.0202	53.1975	21.9396	47.7801	0	21.8787	18.5441	45.7908	0	49.6352	48.8783	54.1883	51.9225	0	55.7942	53.23	21.3055	48.2199	50.6283
1017620101	34.335	31.8604	33.9851	30.4612	0.278912	40.2662	34.3619	18.6806	34.5566	15.0275	0	0	17.9416	14.1532	19.2344	37.4214	39.5951	33.8532	19.6807	37.4804	33.4521	17.3656	34.8427	33.8005
1018621701	34.9975	33.8824	30.2698	20.6747	14.9735	21.4179	36.6078	18.6508	18.285	17.0455	14.0891	0	23.9191	20.5773	21.5259	36.7867	42.5862	35.9703	23.5306	43.2729	33.1644	1.55178	34.9879	31.3687
1019621702	42.5711	34.1186	44.9385	42.0748	0.00566893	42.0515	39.4599	0	42.2719	0	0	0	43.6791	0	42.389	40.4951	42.7377	37.6808	0	40.3676	34.0703	18.8721	41.6989	37.9633
1020330101	35.4873	35.5667	31.7716	37.8737	0	38.0957	36.4064	0	33.2031	0	0	0	38.2852	0	38.3472	37.3073	37.6229	38.758	0	37.7234	39.6972	10.1323	39.4055	25.5491
102116021	46.1574	38.7148	34.6844	33.4071	0	42.0449	40.7208	0	39.5058	0	0	0	42.9451	0	43.1413	39.1758	36.6845	31.2477	0	41.0635	36.2287	15.3682	42.5773	31.3403
1022306301	41.132	34.5915	30.5071	12.7722	32.0815	0	34.4152	16.357	17.3464	0.745152	28.4774	0	39.5735	17.5876	38.2311	33.9268	40.6259	41.678	0	35.6729	35.3611	33.1039	37.2532	34.26
10227052	43.6777	37.1973	34.0458	35.0438	15.4628	21.749	38.4764	37.9793	39.9552	18.66	18.1112	12.1919	18.7912	20.2943	17.7284	40.4329	39.7664	39.3834	17.354	29.2915	31.493	24.8764	35.2776	36.3813
1023311101	58.3756	44.4286	44.945	42.3886	21.7383	25.7227	50.7144	73.1244	48.8601	41.612	21.6777	15.8407	0	45.6207	0	47.7937	50.5587	50.7164	46.5934	52.1908	46.8691	10.2198	48.4508	42.1828
1024311301	39.7868	32.4667	30.2927	29.601	15.0919	16.9137	34.2459	35.3455	39.0392	14.6445	12.798	10.5142	15.0801	15.9416	16.2007	31.7657	33.5251	31.6176	16.2608	34.293	31.9388	12.2336	30.17	34.3437
1025318501	39.0914	28.5113	29.8195	31.2208	0	29.5759	33.3009	17.6472	30.5173	20.2294	0	0	17.5714	16.4145	16.1737	34.0863	33.6741	31.9123	12.4662	32.1926	31.4201	13.476	31.528	21.62
1026319101	28.9137	29.0595	32.3869	0	31.4731	0	36.0864	0	0	0	37.8924	0	34.6482	0	35.3542	36.1198	38.4578	40.264	0	29.7929	29.7629	2.15629	36.2699	31.1395
1027328701	45.5609	27.8744	32.7436	35.1039	0	35.1731	39.7053	37.2828	35.5469	30.6618	0	0	0	33.3124	0	34.1321	38.5128	33.8853	32.8086	37.4625	32.0721	9.81103	31.8921	25.2364
1028328901	45.0635	46.8323	48.2182	49.0824	0	48.9353	49.4728	20.738	50.6598	26.252	0	0	25.0138	20.9624	23.6268	47.6296	52.2388	51.3265	26.811	56.5552	48.5675	5.054	49.9565	52.3417
1029307901	29.4416	30.9592	28.5158	12.3285	15.4937	17.3866	40.7081	0	17.4206	0	12.9286	0	31.1073	0	37.8993	35.9124	30.0719	33.6684	0	28.0204	28.2512	3.80505	30.1039	33.7043
1030315301	38.5584	35.7561	31.4879	17.8073	15.6976	14.3471	34.5701	21.0325	19.2467	16.9792	21.1732	0	17.421	19.0994	15.9594	34.8398	35.5349	35.0667	15.3847	38.0254	25.1374	5.76714	32.4996	29.3214
103116022	31.9239	29.1717	35.6152	18.8017	14.6307	14.6997	13.6976	18.0306	16.6635	13.6613	15.5834	0	19.9142	12.3717	18.966	33.1815	32.3947	15.5624	0	37.7224	29.8535	13.3965	32.7603	25.2762
